label,parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,seed,run_dir,avg_e2e_ms,p50_ms,p95_ms,p99_ms,success_rate,cold_start_share,status
rho_mass_0p5_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-164321_least_load_hpwp_v1,2020.939565627951,1528.0,4698.799999999998,6424.040000000026,1.0,0.39258985830597964,ok
rho_mass_0p5_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-164326_least_load_hpwp_v1,2023.3483348334832,1533.0,4771.0,6641.000000000002,1.0,0.3967846116889241,ok
rho_mass_0p5_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-164331_least_load_hpwp_v1,1916.2058823529412,1570.0,4470.700000000001,6496.71999999999,1.0,0.4134358271670055,ok
rho_mass_0p6_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-164336_least_load_hpwp_v1,3087.087121212121,2905.0,5531.9,6164.76,1.0,0.6031858020518018,ok
rho_mass_0p6_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-164340_least_load_hpwp_v1,3280.945652173913,3293.5,5547.5,8423.0,1.0,0.6160726019031717,ok
rho_mass_0p6_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,low,Low,5e-05,44,D:\Serverless_platform\runs\20260818-164344_least_load_hpwp_v1,2895.2652329749103,2904.0,5407.199999999995,6889.839999999994,1.0,0.6032231588095259,ok
rho_mass_0p6_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-164348_least_load_hpwp_v1,2557.703275529865,2265.0,5264.9,6294.480000000003,1.0,0.520610976851824,ok
rho_mass_0p6_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-164353_least_load_hpwp_v1,2651.6758747697972,2339.0,5359.5,6514.280000000011,1.0,0.5424888530829386,ok
rho_mass_0p6_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-164357_least_load_hpwp_v1,2313.4789762340038,2137.0,4531.799999999999,5829.54,1.0,0.518579218995585,ok
rho_mass_0p6_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-164401_least_load_hpwp_v1,2044.2813975448537,1552.0,4672.0,6739.0600000000395,1.0,0.3931795274964964,ok
rho_mass_0p6_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-164406_least_load_hpwp_v1,2040.3717371737173,1531.0,4835.0,7221.500000000031,1.0,0.39959891532446085,ok
rho_mass_0p6_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-164411_least_load_hpwp_v1,1853.7932263814616,1444.0,4400.500000000004,6599.609999999998,1.0,0.40124021854308456,ok
